kept_for,org,type,title,location,date,url
postcard writing,Indivisible (national),POSTCARD_WRITING,Postcard Party with Indivisible Honolulu and Oahu Dems,"Honolulu, HI",2026-06-06,https://www.mobilize.us/indivisible/event/946816/
postcard writing,Indivisible (national),POSTCARD_WRITING,Postcard writing in NJ - 07 - Anytime action,Online,2026-06-06,https://www.mobilize.us/indivisible/event/947022/
postcard writing,Third Act,POSTCARD_WRITING,Write postcards to elect Democrats in key races across the country!,Online,2026-06-06,https://www.mobilize.us/thirdact/event/934078/
postcard writing,Indivisible (national),POSTCARD_WRITING,Indivisible Postcard Writing at Oak Park Brewery,"Sacramento, CA",2026-06-07,https://www.mobilize.us/indivisible/event/873441/
postcard writing,Indivisible (national),POSTCARD_WRITING,Postcard writing at the Great American Beer Hall!,"Medford, MA",2026-06-07,https://www.mobilize.us/indivisible/event/953190/
postcard writing,Indivisible (national),POSTCARD_WRITING,INDIVISIBLE CITRUS HEIGHTS,"Citrus Heights, CA",2026-06-07,https://www.mobilize.us/indivisible/event/962368/
postcard writing,Indivisible (national),POSTCARD_WRITING,Post-Its: Alexis Goldstein for Congress!,"Frederick, MD",2026-06-07,https://www.mobilize.us/indivisible/event/962483/
postcard writing,Indivisible (national),POSTCARD_WRITING,Monday Morning Postcarding,"Watchung, NJ",2026-06-08,https://www.mobilize.us/indivisible/event/798273/
postcard writing,Indivisible (national),POSTCARD_WRITING,FLIP THE 6TH! Write postcards to high potential voters!,"Lexington, KY",2026-06-08,https://www.mobilize.us/indivisible/event/870258/
postcard writing,Indivisible (national),POSTCARD_WRITING,Postcard Party with Kona Indivisible - KIND (Hawai’i Island),"Kailua-Kona, HI",2026-06-08,https://www.mobilize.us/indivisible/event/877145/
postcard writing,Indivisible (national),POSTCARD_WRITING,Postcarding for the Midterms,"Brookline, MA",2026-06-08,https://www.mobilize.us/indivisible/event/958568/
postcard writing,Indivisible (national),POSTCARD_WRITING,Postcarding & Political Conversation,Online,2026-06-09,https://www.mobilize.us/indivisible/event/823742/
postcard writing,Indivisible (national),POSTCARD_WRITING,Weekly Tuesday Postcard-writing,"Maynard, MA",2026-06-09,https://www.mobilize.us/indivisible/event/888589/
postcard writing,Indivisible (national),POSTCARD_WRITING,Postcard Writing with Indivisible on the Lakeshore,"Muskegon, MI",2026-06-09,https://www.mobilize.us/indivisible/event/918051/
postcard writing,Indivisible (national),POSTCARD_WRITING,Eastern Shore Indivisible - GOTV Postcards to Swing States,"Stevensville, MD",2026-06-09,https://www.mobilize.us/indivisible/event/950130/
